tax_id,tax_id_type,tax_id_active,start_date,social_capital,loan_amount,serasa_score,serasa_total_debt,scr_score,scr_total_debt,score
52036439000148,cnpj,True,143361036,65803837,159935161,583,489300848,542,538230932,589
74960565000122,cnpj,True,864021666,57567459,566305189,587,343787017,575,343787017,587
82394475000116,cnpj,True,297146854,64307641,192342129,62,371119726,76,296895780,56
17207946000155,cnpj,True,1617332071,27943128,30238934,623,180766170,542,198842787,528
64925314000161,cnpj,True,1303456595,82048154,714681380,209,374460187,261,299568149,182
62081587000111,cnpj,True,1074347900,4745381,30467903,812,6352877,950,5082301,909
12902786000150,cnpj,True,293196053,32364044,22382467,363,292130077,315,321343084,304
97004218000149,cnpj,True,291370175,44496419,350582116,78,327045421,71,359749963,78
56686589000161,cnpj,True,1219911414,76971019,73493129,949,459219263,759,551063115,762
26425895000144,cnpj,True,274419189,61981646,579976393,423,187359471,359,224831365,337
80393460000141,cnpj,True,1054074978,24427477,107379892,303,172310423,378,137848338,285
94838121000153,cnpj,True,409455774,23645708,112120107,45,107013698,47,96312328,44
68879824000130,cnpj,True,1540311407,78549451,771697743,748,313747184,837,282372465,697
98227512000123,cnpj,True,810541574,4061945,19188048,956,16352154,860,17987369,986
23463574000172,cnpj,True,389818118,37691677,174504199,446,196083594,361,235300312,446
86283899000194,cnpj,True,212111750,35498401,116511606,825,323767301,965,259013840,751
97770886000154,cnpj,True,561833356,17154738,7645855,405,129313284,457,116381955,457
48543054000161,cnpj,True,1451858732,8021492,62012808,267,51012293,248,56113522,284
20518804000193,cnpj,True,165644109,42337589,128294572,256,162870379,279,146583341,282
18781863000199,cnpj,True,659042303,49521261,128352939,710,450932078,745,450932078,682
55766248000197,cnpj,True,475456286,28558161,91201120,838,52273036,779,57500339,891
12582341000193,cnpj,True,875288257,13294923,97723471,102,71805593,120,57444474,95
80123522000127,cnpj,True,497056038,2466365,19460499,556,19750375,594,17775337,547
51662396000172,cnpj,True,1483077284,43320324,192956547,514,277257372,467,304983109,430
19452420000186,cnpj,True,1278505337,24190328,163210508,439,10831887,403,11915075,379
92535496000138,cnpj,True,191652443,98566278,230151583,309,146604637,253,175925564,255
62942518000135,cnpj,True,301375796,39164068,77615775,869,30805448,903,30805448,736
19218409000189,cnpj,True,484747215,16131927,86408099,498,79762471,473,79762471,531
19046980000111,cnpj,True,1580864477,31999329,232997513,716,222857146,680,222857146,742
28035328000178,cnpj,True,84006896,27776372,137495656,150,264460050,117,317352060,134
62827051000149,cnpj,True,910416622,80050517,791761139,86,207100861,97,186390774,81
